scoreNullable,teamId,hasTeamName,submissionDate,score,hasScore
1.0000,2869568,True,2019-03-09 09:13:10,1.0000,True
1.0000,2876647,True,2019-03-10 22:13:30,1.0000,True
1.0000,2871521,True,2019-03-15 16:57:05,1.0000,True
1.0000,2877473,True,2019-03-19 00:31:33,1.0000,True
1.0000,2907019,True,2019-03-20 06:55:20,1.0000,True
1.0000,2909816,True,2019-03-21 08:00:07,1.0000,True
1.0000,2922989,True,2019-03-21 09:52:25,1.0000,True
1.0000,2888984,True,2019-03-21 14:48:51,1.0000,True
1.0000,2869935,True,2019-03-22 01:09:49,1.0000,True
1.0000,2876477,True,2019-06-26 15:18:53,1.0000,True
1.0000,2887127,True,2019-03-22 18:17:50,1.0000,True
1.0000,2886051,True,2019-05-02 14:13:58,1.0000,True
1.0000,2939367,True,2019-03-23 08:58:32,1.0000,True
1.0000,2899040,True,2019-03-23 14:02:11,1.0000,True
1.0000,2870623,True,2019-07-07 09:58:13,1.0000,True
1.0000,2911173,True,2019-03-23 18:15:02,1.0000,True
1.0000,2869433,True,2019-03-23 19:19:29,1.0000,True
1.0000,2941770,True,2019-07-07 19:27:11,1.0000,True
1.0000,2901717,True,2019-03-23 23:14:25,1.0000,True
1.0000,2874072,True,2019-03-29 08:27:34,1.0000,True
